task,family,ours_local,best_local,best_local_method,ours_bg_lpips,best_bg_lpips,best_bg_method,sam_bg_l1_minus_ours,ours_bg_l1,target,score
fe_213_rabbit_1_sculpture,T5_same_color_material,0.2371395379304886,0.24613934755325317,fireflow,0.0003128170210402459,0.0016740674618631601,sam_flow_flux,0.013501582900062203,0.001299288822337985,A small sculpture of a rabbit sitting in a grassy field. The rabbit is surrounde,3.5037528115557506
fe_138_horse_2_pink_toy_horse,T5_same_color_material,0.2859995365142822,0.30917155742645264,reflex,0.0010648046154528856,0.008860606700181961,sam_flow_flux,0.02766148210503161,0.00263777538202703,A pink toy horse running through a grassy field. The pink toy horse appears to b,3.4991688668727874
fe_129_gray_bird_3_sculpture,T5_same_color_material,0.2687545716762543,0.25564807653427124,splitflow_sd3,0.0007234154618345201,0.01263994351029396,sam_flow_flux,0.0183140094159171,0.0012117718579247594,A small sculpture of a blue and gray bird perched on a wooden fence or post. The,3.4973412150051444
fe_139_horse_3_bronze_sculpture,T5_same_color_material,0.26583361625671387,0.28111690282821655,sam_flow_sd3,0.0010648046154528856,0.008144411258399487,sam_flow_flux,0.020333571592345834,0.00263777538202703,A sculpture bronze horse running through a grassy field. The horse appears to be,3.4709416717290877
fe_208_pizza_tomato_olive_2_mushrooms,T2_container_insertion,0.21984851360321045,0.23496849834918976,fireflow,0.00036160642048344016,0.0008367422269657254,sam_flow_flux,0.016490493901073933,0.0030201254412531853,"A large pizza, topped with cheese, black olive, sliced tomatoes and mushrooms.",3.466849464783445
fe_128_gray_bird_2_red_bird,T4_local_recolor,0.24433809518814087,0.24919548630714417,sam_flow_sd3,0.0007234154618345201,0.0031995654571801424,sam_flow_flux,0.010441355290822685,0.0012117718579247594,A small red and gray bird perched on a wooden fence or post. The bird is positio,3.463624692847952
fe_037_castle_1_lego_castle,T5_same_color_material,0.23961475491523743,0.2536828815937042,splitflow_sd3,1.6682104615028948e-05,0.0003181774518452585,sam_flow_flux,0.013302515028044581,0.0005045451689511538,"A majestic castle made out of lego bricks with a tall, pointed roof, situated on",3.4533601899223867
fe_097_dog_snow_1_wooden_sculpture,T5_same_color_material,0.30007290840148926,0.3081114888191223,fireflow,0.001324316719546914,0.009823132306337357,sam_flow_sd3,0.0151077980408445,0.0019342763116583228,A wooden sculpture of a dog standing in a snowy field.,3.4491455825977027
fe_016_bikes_6_yellow_bicycle,T4_local_recolor,0.23558863997459412,0.24708427488803864,flowedit_sd3,0.0027740823570638895,0.02810734137892723,sam_flow_flux,0.024867945117875934,0.003163383575156331,A yellow bicycle parked on the sidewalk in front of a red brick building. The bi,3.447516142949462
fe_127_gray_bird_1_origami_bird,T5_same_color_material,0.27799707651138306,0.2924824059009552,fireflow,0.0007234154618345201,0.004340016283094883,sam_flow_flux,0.016796331736259162,0.0012117718579247594,A small blue and gray origami bird perched on a wooden fence or post. The origam,3.446305147698149
fe_117_free_wifi_2_free_hugs,T3_surface_decal,0.24996918439865112,0.26108187437057495,otrf_enh_sd3,5.39215216122102e-05,0.0006479276344180107,sam_flow_flux,0.0100958191906102,0.0005094927619211376,"A wooden table with a black board on it. The board displays the words ""FREE HUGS",3.4298338820721255
fe_171_meditation_1_wooden_statue,T5_same_color_material,0.273107647895813,0.26559698581695557,reflex,2.427988511044532e-05,0.00012559854076243937,sam_flow_flux,0.006673398311249912,0.000489726779051125,A wooden statue of a woman sitting on the floor in a room and meditating.,3.4183800465310923
fe_132_groceries_2_coffee,T3_surface_decal,0.20304325222969055,0.210259348154068,fireflow,2.310617310286034e-05,0.00014862547686789185,sam_flow_flux,0.006259460293222219,0.0006082320469431579,"A grocery list writing on a piece of brown paper with a black marker, which incl",3.4146371496884966
fe_152_jump_yay_2_bronze_statue,T5_same_color_material,0.2520763874053955,0.2606169581413269,fireflow,0.0002601458691060543,0.0015442934818565845,sam_flow_flux,0.00840578685165383,0.00042168432264588773,A bronze statue of a man jumping in the air with his left arm raised. He appears,3.4139925890835
fe_153_jump_yay_3_golden_statue,T5_same_color_material,0.2390868067741394,0.2300891876220703,splitflow_sd3,0.0002601458691060543,0.001468414324335754,sam_flow_flux,0.008262399496743456,0.00042168432264588773,A golden sculpture of a man jumping in the air with his left arm raised. He appe,3.404269115743227
fe_017_boat_silhouette_1_sailboat_white_sails_red_hull,T4_local_recolor,0.1946621835231781,0.2131938636302948,splitflow_sd3,0.0012282057432457805,0.014420637860894203,sam_flow_flux,0.02003859984688461,0.0016364131588488817,A serene scene of a lake with a sailboat floating on the water. The sailboat has,3.3999762210063635
fe_134_groceries_4_eccv,T3_surface_decal,0.2274564653635025,0.21669265627861023,splitflow_sd3,2.310617310286034e-05,0.00016288415645249188,sam_flow_flux,0.00816018582554534,0.0006082320469431579,"A grocery list writing on a piece of brown paper with a black marker, which incl",3.3994359629272366
fe_250_this_must_be_the_place_4_iccv,T3_surface_decal,0.2957330346107483,0.3100181818008423,fireflow,0.00010478357580723241,0.0011642691679298878,sam_flow_flux,0.010991713119437918,0.00046128584654070437,"A large, colorful wall with a neon sign that reads ""iccv must be the place.""",3.395078696956625
fe_034_cake_4_strawberries,T2_container_insertion,0.2670400142669678,0.2820896506309509,fireflow,0.0005353832384571433,0.002883526496589184,sam_flow_flux,0.013333432434592396,0.0008179628639481962,"A three-layer wedding cake with white frosting, placed on a wooden table. The ca",3.387385779386386
fe_090_dog_2_puppet,T5_same_color_material,0.2337738573551178,0.24579879641532898,sam_flow_sd3,0.0010386875364929438,0.0068878536112606525,sam_flow_flux,0.013557701953686774,0.0012874131789430976,A small black and brown dog puppet sitting on a lush green field.,3.3869111995212733
fe_157_kid_running_3_sculpture,T5_same_color_material,0.2737709581851959,0.2813768982887268,sam_flow_sd3,0.0025190338492393494,0.019373949617147446,sam_flow_sd3,0.01741415448486805,0.0019198283553123474,A sculpture of a young boy running through a grassy field. He appears to be enjo,3.3822906032204627
fe_174_meditation1_3_wooden_buddha_statue,T5_same_color_material,0.18629534542560577,0.2048109769821167,sam_flow_flux,0.0006805483717471361,0.005438957363367081,sam_flow_flux,0.016181270824745297,0.0021971880923956633,A wooden statue of a buddha sitting on the ground and appears to be in a relaxed,3.3778361059725284
fe_133_groceries_3_cvpr,T3_surface_decal,0.19633138179779053,0.1847618967294693,splitflow_sd3,2.310617310286034e-05,0.00016601724200882018,sam_flow_flux,0.007226479065138847,0.0006082320469431579,"A grocery list writing on a piece of brown paper with a black marker, which incl",3.3686766879676724
fe_093_dog_5_lego_bricks,T5_same_color_material,0.29593363404273987,0.3113727867603302,flowedit_sd3,0.0010386875364929438,0.007736684754490852,sam_flow_flux,0.014811630011536181,0.0012874131789430976,A small black and brown dog made out of lego bricks sitting on a lush green fiel,3.360776555817574
fe_176_meditation1_5_wooden_statue,T5_same_color_material,0.25191590189933777,0.27218255400657654,sam_flow_sd3,0.0006805483717471361,0.004471310414373875,sam_flow_flux,0.016577062429860234,0.0021971880923956633,A wooden sculpture of man sitting on the ground and appears to be in a relaxed p,3.3594866298139094
fe_169_luna_6_hi,T3_surface_decal,0.2437472641468048,0.26498255133628845,sam_flow_sd3,0.0024482642766088247,0.015859313309192657,sam_flow_flux,0.025976015022024512,0.002475556218996644,"A neon sign for a restaurant with the word HI, which is located on a street corn",3.356164564937353
fe_116_free_wifi_1_free_beer,T3_surface_decal,0.24278026819229126,0.25886672735214233,fireflow,5.39215216122102e-05,0.0004755086556542665,sam_flow_flux,0.010108310088980943,0.0005094927619211376,"A wooden table with a black board on it. The board displays the words ""FREE BEER",3.3554771622206316
fe_165_luna_2_cvpr,T3_surface_decal,0.2629748582839966,0.2831434905529022,sam_flow_sd3,0.0024482642766088247,0.014938821084797382,sam_flow_flux,0.024721709778532386,0.002475556218996644,"A neon sign for a restaurant called CVPR, which is located on a street corner. T",3.3470782838761806
fe_246_stop_sticker_3_iccv,T3_surface_decal,0.31739988923072815,0.32858431339263916,splitflow_sd3,0.0006177898612804711,0.003759813029319048,sam_flow_flux,0.007385581906419247,0.0005866222199983895,A ICCV! sticker with a red and yellow color scheme which is placed on a white ba,3.3181662895716726
fe_015_bikes_5_green_bicycle,T4_local_recolor,0.21851864457130432,0.23587092757225037,reflex,0.0027740823570638895,0.029008669778704643,sam_flow_flux,0.022218965692445636,0.003163383575156331,A green bicycle parked on the sidewalk in front of a red brick building. The bic,3.306686833128333
fe_245_stop_sticker_2_eccv,T3_surface_decal,0.320395290851593,0.3338506817817688,sam_flow_sd3,0.0006177898612804711,0.004636215046048164,sam_flow_flux,0.007103355310391635,0.0005866222199983895,A ECCV! sticker with a red and yellow color scheme which is placed on a white ba,3.2784572561271488
fe_237_stop_3_eccv,T3_surface_decal,0.2551251947879791,0.27673444151878357,flowedit_sd3,0.0005206739297136664,0.008158540353178978,sam_flow_flux,0.012336116255028173,0.00046974423457868397,A sign that says ECCV prominently placed in a field of yellow flowers.,3.27051623116713
fe_092_dog_4_sculpture,T5_same_color_material,0.2500106692314148,0.27046042680740356,fireflow,0.0010386875364929438,0.010793197900056839,sam_flow_sd3,0.01372559240553528,0.0012874131789430976,A small black and brown sculpture of a dog sitting on a lush green field.,3.2638967308215796
fe_269_yellow_bulldog_13_origami_deer,T5_same_color_material,0.2708304226398468,0.28919684886932373,flowedit_sd3,0.00031416589627042413,0.0035755012650042772,sam_flow_sd3,0.00849327928153798,0.0004975449410267174,"A small, yellow, origami deer positioned in the center of the scene, and it appe",3.262952602561563
fe_140_horse_4_brown_horse,T4_local_recolor,0.2347523272037506,0.2627626657485962,reflex,0.0010648046154528856,0.0076589398086071014,sam_flow_flux,0.019230012083426118,0.00263777538202703,"A brown horse running through a grassy field. The horse appears to be galloping,",3.25796470195055
fe_225_sign_4_flow,T3_surface_decal,0.3283776044845581,0.28661322593688965,fireflow,6.196220056153834e-05,0.0008168913773261011,sam_flow_flux,0.02430227119475603,0.0027256226167082787,A large white billboard with a bold message written in black letters. The messag,3.25338352562394
fe_180_milk_4_whipped_cream,T2_container_insertion,0.24262462556362152,0.2554560899734497,reflex,0.0026241675950586796,0.02025449648499489,sam_flow_flux,0.014719778904691339,0.0015655213501304388,"A glass of milk placed on a wooden table. The glass is filled with milk, and a s",3.239506852440536
fe_236_stop_2_iccv,T3_surface_decal,0.27290448546409607,0.29488953948020935,sam_flow_sd3,0.0005206739297136664,0.008687596768140793,sam_flow_flux,0.011026017338735983,0.00046974423457868397,A sign that says ICCV prominently placed in a field of yellow flowers.,3.2386771435616537
fe_007_bear_grass_4_sculpture,T5_same_color_material,0.2880622148513794,0.3035634756088257,otrf_enh_sd3,0.009609156288206577,0.0638979896903038,otrf_enh_sd3,0.051375840324908495,0.005830611567944288,A large sculpture of a brown bear walking through a grassy field.,3.2340822663158177
fe_194_parrots_3_sculpture,T5_same_color_material,0.1854197084903717,0.28582528233528137,reflex,0.001268786727450788,0.030325118452310562,sam_flow_flux,0.042571802041493356,0.0014111805940046906,A sculpture of two colorful parrots sitting on a wooden stump or log. They are p,3.2245573680847883
fe_101_dog_snow_5_golden,T5_same_color_material,0.22254016995429993,0.24590736627578735,fireflow,0.001324316719546914,0.007130087818950415,sam_flow_flux,0.01525852142367512,0.0019342763116583228,A Golden Retriever dog standing in a snowy field.,3.2222308116964995
fe_268_yellow_bulldog_12_origami_bear,T5_same_color_material,0.2698439955711365,0.24846678972244263,reflex,0.00031416589627042413,0.0031165729742497206,sam_flow_flux,0.00845401844708249,0.0004975449410267174,"A small, yellow, origami bear positioned in the center of the scene, and it appe",3.2170056915841996
fe_191_parrot2_1_glass_sculpture,T5_same_color_material,0.27830761671066284,0.31185799837112427,fireflow,0.0002956512907985598,0.003192401025444269,sam_flow_flux,0.01738587860018015,0.0006717657670378685,"A glass sculpture of a colorful parrot perched on top of a tall, brightly colore",3.2148967180168255
fe_266_yellow_bulldog_10_origami_lion,T5_same_color_material,0.20345036685466766,0.22451774775981903,fireflow,0.00031416589627042413,0.0025892136618494987,sam_flow_flux,0.007895687769632787,0.0004975449410267174,"A small, yellow, origami lion positioned in the center of the scene, and it appe",3.2104864521883427
fe_025_bus_3_pink_van,T4_local_recolor,0.2659430503845215,0.2848629951477051,sam_flow_sd3,0.004663687199354172,0.032050758600234985,sam_flow_flux,0.027978129452094436,0.003523960942402482,"A pink van parked in front of a house, outside a garage. The van is of a classic",3.2093946976587175
fe_115_flowers_2_blue_purple_white,T4_local_recolor,0.1759849190711975,0.19961431622505188,reflex,0.0015505803748965263,0.01084410771727562,sam_flow_flux,0.01521962322294712,0.0018817335367202759,"A vase filled with a beautiful bouquet of blue, purple and white flowers.",3.194893469661474
fe_148_jump_kick_2_bronze_statue,T5_same_color_material,0.20342525839805603,0.2541893720626831,reflex,0.0009577912860549986,0.01191250141710043,sam_flow_flux,0.03254345594905317,0.0022348223719745874,A bronze statue of a woman kicking in the air. It appears to be in the middle of,3.1936282854061573
fe_199_piece_of_cake_2_red_velvet_cake,T4_local_recolor,0.2535814642906189,0.27942290902137756,reflex,2.120134377037175e-05,0.00014873719192110002,sam_flow_flux,0.008540214388631284,0.000605854787863791,"A delicious red velvet cake with white frosting, sitting on a dining table.",3.1810624824342084
fe_028_butterfly_1_orange_butterfly,T4_local_recolor,0.2255672663450241,0.24485141038894653,reflex,0.0011000364320352674,0.007722448091953993,sam_flow_flux,0.0088966068578884,0.0006042338209226727,A beautiful purple flower with an orange butterfly perched on top of it. The but,3.178666333295405
fe_024_bus_2_volkswagen_logo,T3_surface_decal,0.2130509316921234,0.23251545429229736,reflex,0.004625413566827774,0.03029521554708481,sam_flow_flux,0.026329232845455408,0.0035316268913447857,"A yellow van parked in front of a house, outside a garage. The van is of a class",3.1720754612237214
fe_158_kid_running_4_wooden_sculpture,T5_same_color_material,0.31125766038894653,0.334023654460907,flowedit_sd3,0.0025190338492393494,0.020902063697576523,sam_flow_sd3,0.018019214272499084,0.0019198283553123474,A wooden sculpture of a young boy running through a grassy field. He appears to ,3.16699098944664
fe_249_this_must_be_the_place_3_eccv,T3_surface_decal,0.2983151078224182,0.32867246866226196,fireflow,0.00010478357580723241,0.0014055176870897412,sam_flow_flux,0.011352732864907011,0.00046128584654070437,"A large, colorful wall with a neon sign that reads ""eccv must be the place.""",3.1612158871197606
fe_172_meditation1_1_sand_sculpture,T5_same_color_material,0.20739944279193878,0.27442193031311035,reflex,0.0006805483717471361,0.024438925087451935,otrf_enh_sd3,0.035929925041273236,0.0021971880923956633,A sand sculpture of man sitting on the ground and appears to be in a relaxed pos,3.150543663650751
fe_091_dog_3_crochet,T5_same_color_material,0.27910056710243225,0.3069632053375244,fireflow,0.0010386875364929438,0.007034162990748882,sam_flow_flux,0.013574216165579855,0.0012874131789430976,A small black and brown crochet dog sitting on a lush green field.,3.14967599613592
fe_004_bear_grass_1_black_bear,T4_local_recolor,0.23437635600566864,0.25195616483688354,sam_flow_flux,0.009609156288206577,0.058162134140729904,otrf_enh_sd3,0.048643667716532946,0.005830611567944288,A large black bear walking through a grassy field.,3.1482605930417775
fe_055_cat_7_wooden_sculpture,T5_same_color_material,0.30785518884658813,0.3399772644042969,sam_flow_sd3,0.0008879667730070651,0.004819181747734547,sam_flow_flux,0.015940395940560848,0.000951152469497174,A small wooden sculpture of a kitten sitting in a grassy field. The wooden sculp,3.1481801081448793
fe_187_parrot_1_glass_sculpture,T5_same_color_material,0.22823375463485718,0.3111404776573181,sam_flow_sd3,0.0009035298717208207,0.010997028090059757,sam_flow_flux,0.036918995087035,0.0010404650820419192,A glass sculpture of a colorful parrot perched on a tree branch. The glass sculp,3.148026914568618
fe_170_luna_7_heart,T3_surface_decal,0.1886400729417801,0.22539862990379333,otrf_enh_sd3,0.0024482642766088247,0.014926218427717686,sam_flow_flux,0.02629192708991468,0.002475556218996644,"A neon sign for a restaurant with an heart on it, which is located on a street c",3.1296337597072124
fe_149_jump_kick_3_golden_statue,T5_same_color_material,0.22366371750831604,0.27407777309417725,reflex,0.0009577912860549986,0.011542094871401787,sam_flow_flux,0.028298035031184554,0.0022348223719745874,A golden sculpture of a woman kicking in the air. It appears to be in the middle,3.113970738230273
fe_021_brown_owl_3_origami_owl,T5_same_color_material,0.2785113453865051,0.3119164705276489,splitflow_sd3,0.0012828352628275752,0.006349752191454172,sam_flow_flux,0.017132226028479636,0.0018088038777932525,A small origami owl standing on a patch of grass.,3.113284117169678
fe_244_stop_sticker_1_cvpr,T3_surface_decal,0.3653508424758911,0.34054532647132874,reflex,0.0006177898612804711,0.0037767174653708935,sam_flow_sd3,0.007082174241077155,0.0005866222199983895,A CVPR! sticker with a red and yellow color scheme which is placed on a white ba,3.1077817586250602
fe_114_flowers_1_orange_yellow_white,T4_local_recolor,0.1638006865978241,0.19423125684261322,flowedit_sd3,0.0015505803748965263,0.010252797044813633,sam_flow_flux,0.014887232333421707,0.0018817335367202759,"A vase filled with a beautiful bouquet of orange, yellow and white flowers.",3.0862280555069446
fe_221_rocks_6_colorful_wooden_blocks,T5_same_color_material,0.17895597219467163,0.2213713377714157,sam_flow_sd3,0.00023569144832435995,0.018221963196992874,sam_flow_flux,0.016754453594330698,0.0004734326503239572,"A stack of colorful wooden blocks, laying on top of each other on a brown and gr",3.0752894434030167
fe_069_cat_stone_3_sculpture,T5_same_color_material,0.23260103166103363,0.26084351539611816,fireflow,0.003557328600436449,0.06238459795713425,otrf_enh_sd3,0.02214349457062781,0.0013740283902734518,A small sculpture of a kitten sitting on a stone ledge. The ledge is located nea,3.063499775342643
fe_131_groceries_1_bacon,T3_surface_decal,0.2199202924966812,0.2515515983104706,fireflow,2.310617310286034e-05,0.00013744730676990002,sam_flow_flux,0.006612956349272281,0.0006082320469431579,"A grocery list writing on a piece of brown paper with a black marker, which incl",3.055478922468319
fe_123_gas_station_6_free,T3_surface_decal,0.21286197006702423,0.25869491696357727,sam_flow_sd3,0.003065998898819089,0.020664460957050323,sam_flow_flux,0.03215085808187723,0.002989324741065502,"A gas station with a white and red sign that reads ""FREE"" There are several cars",3.04892306830734
fe_272_yellow_bulldog_16_origami_cow,T5_same_color_material,0.23660889267921448,0.2710726261138916,otrf_enh_sd3,0.00031416589627042413,0.0031197736971080303,sam_flow_sd3,0.0079981695744209,0.0004975449410267174,"A small, yellow, origami cow positioned in the center of the scene, and it appea",3.0115908003412186
fe_020_brown_owl_2_glass_sculpture,T5_same_color_material,0.3635252118110657,0.326269268989563,reflex,0.0012828352628275752,0.006730296649038792,sam_flow_flux,0.014694062643684447,0.0018088038777932525,A small glass sculpture of a brown owl standing on a patch of grass.,3.006758584268391
