baseline,task,seed,status,source_image,source_prompt,target_prompt,result_image,metadata,command,matched_conditions,failure_reason,notes
fireflow,fe_021_brown_owl_3_origami_owl,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_021_brown_owl_3_origami_owl.png,"A small, brown owl standing on a patch of grass.",A small origami owl standing on a patch of grass.,outputs/baselines/fireflow/fe_021_brown_owl_3_origami_owl/seed_10/result.png,outputs/baselines/fireflow/fe_021_brown_owl_3_origami_owl/seed_10/metadata.json,outputs/baselines/fireflow/fe_021_brown_owl_3_origami_owl/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_024_bus_2_volkswagen_logo,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_024_bus_2_volkswagen_logo.png,"A yellow van parked in front of a house, outside a garage. The van is of a classic model. The house has a brown exterior, and there is a tree nearby. There is a spare tire hanged between the headlights of the van.","A yellow van parked in front of a house, outside a garage. The van is of a classic model. The house has a brown exterior, and there is a tree nearby. There is a big Volkswagen logo on the front of the van, between its headlights.",outputs/baselines/fireflow/fe_024_bus_2_volkswagen_logo/seed_10/result.png,outputs/baselines/fireflow/fe_024_bus_2_volkswagen_logo/seed_10/metadata.json,outputs/baselines/fireflow/fe_024_bus_2_volkswagen_logo/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_025_bus_3_pink_van,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_025_bus_3_pink_van.png,"A yellow van parked in front of a house, outside a garage. The van is of a classic model. The house has a brown exterior, and there is a tree nearby. There is a spare tire hanged between the headlights of the van.","A pink van parked in front of a house, outside a garage. The van is of a classic model. The house has a brown exterior, and there is a tree nearby. There is a spare tire hanged between the headlights of the van.",outputs/baselines/fireflow/fe_025_bus_3_pink_van/seed_10/result.png,outputs/baselines/fireflow/fe_025_bus_3_pink_van/seed_10/metadata.json,outputs/baselines/fireflow/fe_025_bus_3_pink_van/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_027_butterflies_1_yellow,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_027_butterflies_1_yellow.png,"A vibrant orange flower with two black and white butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.","A vibrant orange flower with two yellow butterflies perched on it. The butterflies are positioned on opposite sides of the flower, with one butterfly on the left side and the other on the right side. The butterflies appear to be resting or possibly feeding on the flower, creating a captivating scene.",outputs/baselines/fireflow/fe_027_butterflies_1_yellow/seed_10/result.png,outputs/baselines/fireflow/fe_027_butterflies_1_yellow/seed_10/metadata.json,outputs/baselines/fireflow/fe_027_butterflies_1_yellow/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_028_butterfly_1_orange_butterfly,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_028_butterfly_1_orange_butterfly.png,A beautiful purple flower with a white and black butterfly perched on top of it. The butterfly is positioned towards the left side of the flower.,A beautiful purple flower with an orange butterfly perched on top of it. The butterfly is positioned towards the right side of the flower.,outputs/baselines/fireflow/fe_028_butterfly_1_orange_butterfly/seed_10/result.png,outputs/baselines/fireflow/fe_028_butterfly_1_orange_butterfly/seed_10/metadata.json,outputs/baselines/fireflow/fe_028_butterfly_1_orange_butterfly/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_029_butterfly_2_red_flower,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_029_butterfly_2_red_flower.png,A beautiful purple flower with a white and black butterfly perched on top of it. The butterfly is positioned towards the left side of the flower.,A beautiful red flower with a white and black butterfly perched on top of it. The butterfly is positioned towards the right side of the flower.,outputs/baselines/fireflow/fe_029_butterfly_2_red_flower/seed_10/result.png,outputs/baselines/fireflow/fe_029_butterfly_2_red_flower/seed_10/metadata.json,outputs/baselines/fireflow/fe_029_butterfly_2_red_flower/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_031_cake_1_berries,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_031_cake_1_berries.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of berries. The cake is presented on a white plate.",outputs/baselines/fireflow/fe_031_cake_1_berries/seed_10/result.png,outputs/baselines/fireflow/fe_031_cake_1_berries/seed_10/metadata.json,outputs/baselines/fireflow/fe_031_cake_1_berries/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_033_cake_3_wedding_cake,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_033_cake_3_wedding_cake.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer wedding cake with white frosting, placed on a wooden table. The cake is presented on a white plate.",outputs/baselines/fireflow/fe_033_cake_3_wedding_cake/seed_10/result.png,outputs/baselines/fireflow/fe_033_cake_3_wedding_cake/seed_10/metadata.json,outputs/baselines/fireflow/fe_033_cake_3_wedding_cake/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_034_cake_4_strawberries,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_034_cake_4_strawberries.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer wedding cake with white frosting, placed on a wooden table. The cake is adorned with a lot of strawberries. The cake is presented on a white plate.",outputs/baselines/fireflow/fe_034_cake_4_strawberries/seed_10/result.png,outputs/baselines/fireflow/fe_034_cake_4_strawberries/seed_10/metadata.json,outputs/baselines/fireflow/fe_034_cake_4_strawberries/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_037_castle_1_lego_castle,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_037_castle_1_lego_castle.png,"A majestic castle with a tall, pointed roof, situated on a hillside. The sky above the castle is filled with clouds, creating a dramatic atmosphere. There are several windows on the castle, with some located on the lower levels and others on the upper levels.","A majestic castle made out of lego bricks with a tall, pointed roof, situated on a hillside. The sky above the lego castle is filled with clouds, creating a dramatic atmosphere. There are several windows on the lego castle, with some located on the lower levels and others on the upper levels.",outputs/baselines/fireflow/fe_037_castle_1_lego_castle/seed_10/result.png,outputs/baselines/fireflow/fe_037_castle_1_lego_castle/seed_10/metadata.json,outputs/baselines/fireflow/fe_037_castle_1_lego_castle/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_038_cat_and_dog_1_lego,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_038_cat_and_dog_1_lego.png,"A dog and a cat sitting together on a sidewalk. The dog is positioned on the left side of the scene, while the cat is on the right side. Both animals appear to be relaxed and enjoying each other''s company.","A dog and a cat made out of lego sitting together on a sidewalk. The lego dog is positioned on the left side of the scene, while the lego cat is on the right side. Both animals appear to be relaxed and enjoying each other''s company.",outputs/baselines/fireflow/fe_038_cat_and_dog_1_lego/seed_10/result.png,outputs/baselines/fireflow/fe_038_cat_and_dog_1_lego/seed_10/metadata.json,outputs/baselines/fireflow/fe_038_cat_and_dog_1_lego/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_039_cat_and_dog_2_bronze,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_039_cat_and_dog_2_bronze.png,"A dog and a cat sitting together on a sidewalk. The dog is positioned on the left side of the scene, while the cat is on the right side. Both animals appear to be relaxed and enjoying each other''s company.","A bronze sculpture of a dog and a cat sitting together on a sidewalk. The dog is positioned on the left side of the scene, while the cat is on the right side. Both animals appear to be relaxed and enjoying each other''s company.",outputs/baselines/fireflow/fe_039_cat_and_dog_2_bronze/seed_10/result.png,outputs/baselines/fireflow/fe_039_cat_and_dog_2_bronze/seed_10/metadata.json,outputs/baselines/fireflow/fe_039_cat_and_dog_2_bronze/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_046_cat_crown_1_black_top_hat,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_046_cat_crown_1_black_top_hat.png,"A gray cat sitting on a black cloth, wearing a crown. The crown is placed on the cat''s head.","A gray cat sitting on a black cloth, wearing a top hat. The top hat is placed on the cat''s head.",outputs/baselines/fireflow/fe_046_cat_crown_1_black_top_hat/seed_10/result.png,outputs/baselines/fireflow/fe_046_cat_crown_1_black_top_hat/seed_10/metadata.json,outputs/baselines/fireflow/fe_046_cat_crown_1_black_top_hat/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_055_cat_7_wooden_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_055_cat_7_wooden_sculpture.png,"A small, fluffy kitten sitting in a grassy field. The kitten is positioned in the center of the scene, surrounded by a field. The kitten appears to be looking at something in the field.","A small wooden sculpture of a kitten sitting in a grassy field. The wooden sculpture of a kitten is positioned in the center of the scene, surrounded by a field. The wooden sculpture of a kitten appears to be looking at something in the field.",outputs/baselines/fireflow/fe_055_cat_7_wooden_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_055_cat_7_wooden_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_055_cat_7_wooden_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_067_cat_stone_1_black_kitten,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_067_cat_stone_1_black_kitten.png,"A small gray kitten sitting on a stone ledge. The ledge is located near a wall, and there is a cement block nearby.","A small black kitten sitting on a stone ledge. The ledge is located near a wall, and there is a cement block nearby.",outputs/baselines/fireflow/fe_067_cat_stone_1_black_kitten/seed_10/result.png,outputs/baselines/fireflow/fe_067_cat_stone_1_black_kitten/seed_10/metadata.json,outputs/baselines/fireflow/fe_067_cat_stone_1_black_kitten/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_069_cat_stone_3_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_069_cat_stone_3_sculpture.png,"A small gray kitten sitting on a stone ledge. The ledge is located near a wall, and there is a cement block nearby.","A small sculpture of a kitten sitting on a stone ledge. The ledge is located near a wall, and there is a cement block nearby.",outputs/baselines/fireflow/fe_069_cat_stone_3_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_069_cat_stone_3_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_069_cat_stone_3_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_080_corgi_1_lego_bricks,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_080_corgi_1_lego_bricks.png,"A brown and white dog sitting on a dirt ground near a body of water. The dog appears to be enjoying the outdoors, possibly in a park. The dog is wearing a red collar. In the background, there are a few trees, providing a natural setting for the dog''s outdoor adventure.","A brown and white dog made out of lego bricks sitting on a dirt ground near a body of water. The dog appears to be enjoying the outdoors, possibly in a park. The dog is wearing a red collar. In the background, there are a few trees, providing a natural setting for the dog''s outdoor adventure.",outputs/baselines/fireflow/fe_080_corgi_1_lego_bricks/seed_10/result.png,outputs/baselines/fireflow/fe_080_corgi_1_lego_bricks/seed_10/metadata.json,outputs/baselines/fireflow/fe_080_corgi_1_lego_bricks/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_081_corgi_2_wooden_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_081_corgi_2_wooden_sculpture.png,"A brown and white dog sitting on a dirt ground near a body of water. The dog appears to be enjoying the outdoors, possibly in a park. The dog is wearing a red collar. In the background, there are a few trees, providing a natural setting for the dog''s outdoor adventure.","A wooden sculpture of a brown and white dog made sitting on a dirt ground near a body of water. The wooden sculpture of a dog appears to be enjoying the outdoors, possibly in a park. In the background, there are a few trees, providing a natural setting for the wooden sculpture''s outdoor adventure.",outputs/baselines/fireflow/fe_081_corgi_2_wooden_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_081_corgi_2_wooden_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_081_corgi_2_wooden_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_084_cupcake_2_red_velvet,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_084_cupcake_2_red_velvet.png,A small chocolate cupcake with light brown whipped cream on top.,A small red velvet cupcake with whipped cream on top.,outputs/baselines/fireflow/fe_084_cupcake_2_red_velvet/seed_10/result.png,outputs/baselines/fireflow/fe_084_cupcake_2_red_velvet/seed_10/metadata.json,outputs/baselines/fireflow/fe_084_cupcake_2_red_velvet/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_092_dog_4_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_092_dog_4_sculpture.png,A small black and brown dog sitting on a lush green field.,A small black and brown sculpture of a dog sitting on a lush green field.,outputs/baselines/fireflow/fe_092_dog_4_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_092_dog_4_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_092_dog_4_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
