key,family_label,paper_role,ours_sd3_verdict,ours_flux_verdict,ours_sd3_score,ours_flux_score,issue_tags,primary_category,severity,rerun_priority,mask_action,prompt_action,param_action,expected_pass_condition,current_note
fe_046_cat_crown_1_black_top_hat,T1_attached_accessory,avoid_or_failure,usable,usable,7,6,"better_than_baselines,mask_seam,subject_shape_changed,weak_edit,worse_than_baselines",C1_replacement_old_object_residue,high,P1_fix_first,old accessory mask 膨胀 8-16 px，并向头发/耳朵边界轻微 feather；不要只用矩形 support mask。,"target 加 `wearing only a black top hat, no crown, no jeweled crown`；negative 加 `crown, jeweled crown, tiara`。",replacement preset：mask 内 source feature reuse 降低，前 40-60% step 不注入旧物体特征，后期只注入低层结构/背景；必要时两阶段 remove-then-add。,旧物体边界消失，同时猫脸和背景保持。,帽子加入后仍有原皇冠/耳部边界残留，FLUX 还会混合 crown/top-hat。
fe_067_cat_stone_1_black_kitten,T4_local_recolor,checked_not_priority,usable,bad,7,6,"target_missing,weak_edit",C7_low_contrast_or_small_recolor,medium,P1_fix_first,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,背景保持较好，但小主体或暗部场景下编辑强度需要人工确认。
fe_093_dog_5_lego_bricks,T5_same_color_material,checked_not_priority,good,usable,8,7,artifact,C10_material_artifact_or_overedit,medium,P2_batch_rerun,mask feather 增大，边界减少硬拼接；小动物/雪地等高频背景要更强 mask 外 copy。,"加 `natural, no black patches, no gray blocks, same background`。",降低 guidance/semantic strength，增加最后 20% source-background composite；必要时换 SD3 作为主结果。,减少块状伪影和过度材质化。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_094_dog_6_red_top_hat,T1_attached_accessory,main_candidate,usable,usable,7,7,"better_than_baselines,weak_edit",C2_small_or_compound_accessory,medium,P2_batch_rerun,使用头顶局部 box + 轻微上扩；若 target 同时要求主体颜色变化，拆成 body mask 和 accessory mask 两个 pass。,把目标写成显式局部物体：`a clearly visible top hat/crown on the head`；复合任务去掉不必要的全身属性，或分两次 prompt。,small-object preset：提高 mask 内 edit strength/CFG，减少 FLUX 的保守 feature reuse；保持 mask 外严格 copy。,配饰清楚可见，小主体不变形；复合任务分步后颜色和配饰都能过。,背景保持好，配饰清楚；SD3 主体轮廓更稳，FLUX 有时语义更弱。
fe_097_dog_snow_1_wooden_sculpture,T5_same_color_material,checked_not_priority,good,usable,8,7,better_than_baselines,C11_animal_object_material_balance,medium,P2_batch_rerun,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_101_dog_snow_5_golden,T5_same_color_material,checked_not_priority,good,usable,8,7,,C11_animal_object_material_balance,medium,P2_batch_rerun,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_108_duck_1_colorful_duck,T4_local_recolor,checked_not_priority,usable,usable,7,7,weak_edit,C7_low_contrast_or_small_recolor,medium,P2_batch_rerun,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,背景保持较好，但小主体或暗部场景下编辑强度需要人工确认。
fe_116_free_wifi_1_free_beer,T3_surface_decal,limitation,good,usable,8,7,"better_than_baselines,text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景基本保持；短词/图标类目标有可见编辑，但仍要逐字检查，不建议作为核心主张。
fe_117_free_wifi_2_free_hugs,T3_surface_decal,limitation,good,usable,8,7,"better_than_baselines,text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景基本保持；短词/图标类目标有可见编辑，但仍要逐字检查，不建议作为核心主张。
fe_118_gas_station_1_cvpr,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_119_gas_station_2_iccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_120_gas_station_3_eccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_121_gas_station_4_food,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_122_gas_station_5_love,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_123_gas_station_6_free,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_131_groceries_1_bacon,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_132_groceries_2_coffee,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_133_groceries_3_cvpr,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_134_groceries_4_eccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_135_groceries_5_iccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C5_exact_text_needs_renderer,blocker,P0_requires_new_branch,保留原文字区域 mask，额外估计四边形/透视区域；长文本按行分区。,扩散 prompt 不再承担精确拼字，只负责背景/材质清理；目标文字交给 renderer。,新增 text-render branch：OCR/手动文本区域 -> 透视校正 -> 用目标词/字体渲染 -> 反透视贴回 -> Poisson/alpha blend。扩散只做轻微 inpaint cleanup。,文字逐字正确；这是唯一能让 T3 全过的可靠路径。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_139_horse_3_bronze_sculpture,T5_same_color_material,main_candidate,good,usable,8,6,"subject_shape_changed,worse_than_baselines",C11_animal_object_material_balance,medium,P1_fix_first,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质/形态编辑较清楚，背景保持优于多数 baseline；需避免姿态明显改变的样例。
fe_142_iguana_2_blue_lizard_top_hat,T1_attached_accessory,avoid_or_failure,usable,usable,7,6,"better_than_baselines,subject_shape_changed,weak_edit,worse_than_baselines",C2_small_or_compound_accessory,medium,P1_fix_first,使用头顶局部 box + 轻微上扩；若 target 同时要求主体颜色变化，拆成 body mask 和 accessory mask 两个 pass。,把目标写成显式局部物体：`a clearly visible top hat/crown on the head`；复合任务去掉不必要的全身属性，或分两次 prompt。,small-object preset：提高 mask 内 edit strength/CFG，减少 FLUX 的保守 feature reuse；保持 mask 外严格 copy。,配饰清楚可见，小主体不变形；复合任务分步后颜色和配饰都能过。,小主体上的帽子编辑弱，部分 baseline 会明显改蜥蜴姿态。
fe_146_japanese_castle_1_lego_castle,T5_same_color_material,checked_not_priority,good,usable,8,7,better_than_baselines,C8_complex_structure_material_transfer,high,P1_fix_first,保持整主体 mask，但使用 edge/depth/control mask 锁结构；不要允许自由重建。,把 `made out of lego bricks` 改为 `same castle silhouette with lego-brick texture on the facade`。,structure-lock preset：强 edge/depth/latent preserve，降低 semantic strength；如果仍要 lego 几何，只能接受结构变化。,城堡轮廓/塔楼保持，表面出现 lego texture，而不是生成新城堡。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_148_jump_kick_2_bronze_statue,T5_same_color_material,supplement_candidate,usable,usable,7,6,"better_than_baselines,pose_changed,subject_shape_changed",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,材质/形态编辑较清楚，背景保持优于多数 baseline；需避免姿态明显改变的样例。
fe_149_jump_kick_3_golden_statue,T5_same_color_material,main_candidate,usable,usable,7,7,"better_than_baselines,pose_changed,subject_shape_changed",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,材质/形态编辑较清楚，背景保持优于多数 baseline；需避免姿态明显改变的样例。
fe_150_jump_kick_4_marble_statue,T5_same_color_material,supplement_candidate,usable,usable,7,7,"better_than_baselines,pose_changed,subject_shape_changed",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,材质/形态编辑较清楚，背景保持优于多数 baseline；需避免姿态明显改变的样例。
fe_152_jump_yay_2_bronze_statue,T5_same_color_material,checked_not_priority,usable,usable,7,7,"pose_changed,subject_shape_changed",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_153_jump_yay_3_golden_statue,T5_same_color_material,checked_not_priority,usable,usable,7,7,"pose_changed,subject_shape_changed",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_157_kid_running_3_sculpture,T5_same_color_material,avoid_or_failure,usable,usable,7,6,"artifact,pose_changed,subject_shape_changed,worse_than_baselines",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,人物奔跑姿态和身体结构改变过多。
fe_158_kid_running_4_wooden_sculpture,T5_same_color_material,avoid_or_failure,usable,usable,7,7,"pose_changed,subject_shape_changed,worse_than_baselines",C9_human_pose_identity_material_transfer,blocker,P0_requires_new_branch,full-body mask 保留，但叠加 pose/keypoint/edge constraint；脸部可单独更强保留或排除。,"改成 `same person, same pose, same body silhouette, ... texture/material`，避免 `a statue of` 触发新身份。",新增 pose-lock branch：OpenPose/edge/depth constraint + 降低 early semantic update；人体类必须单独 preset，不能用普通 T5。,姿态和身份保持，材质变化可见；没有 pose-lock 很难全部过。,木雕语义带来明显重绘，动作保持不足。
fe_164_luna_1_sol,T3_surface_decal,limitation,good,usable,8,7,"better_than_baselines,text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景基本保持；短词/图标类目标有可见编辑，但仍要逐字检查，不建议作为核心主张。
fe_165_luna_2_cvpr,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_166_luna_3_iccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_167_luna_4_eccv,T3_surface_decal,limitation,usable,usable,7,7,"text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
